prediction;gold;sentence 
positive;negative;a lot, a lot!
positive;negative;the love that ray and pooja feel for one another, a well a the almost giddy closeness of the family unit, is laid on so thickly in the first hour that the film almost collapse under the weight of the sentimentality.
negative;negative;the terrible dialogue is spoken extremely slowly by a supremely untalented cast, stretching the movie to a near-deadly 87 minutes.
negative;negative;"i listened to rap and r&b growing up, but the group ""immature"" never made it to either my cassette deck or my cd player."
negative;positive;whatever you think, all i can say is that i thoroughly enjoyed it.
positive;positive;movie that play and challenge your mind are movie you don't forget, those that make you doubt your reality.
positive;positive;the story of two brother who meet after the war between the state and end up on different side of the law isn't new but interesting nonetheless, and the shootout and the atmosphere are great.
negative;positive;it wa staggering and a grave injustice that not one of them wa even nominated for an academy award.this is a film that demand to be seen and analyzed closely.
positive;positive;the performance of rip torn and tantoo cardinal are excellent and their performance combined with the music, scenery and reality of the movie are quite compelling.
negative;positive;i keep note on all the film i see and rate them.
negative;positive;fonda play a tv reporter who want to be an investigative journalist but is only allowed to be a tv reporter.
positive;positive;later tommy get himself into some real trouble when he disobeys order in an effort save his buddy.this film is quite entertaining with an absorbing plot line that held my interest and top-notch performance by all.
negative;negative;i began watching this movie on t.v.
positive;negative;a well-heeled london solicitor, (tom wilkinson), discovers that not only is his wife having an affair with the local gentry but that she ha also killed their housekeeper's husband in a hit-and-run accident.
negative;positive;and when we do it no where near a good a this games.
positive;positive;seen all 4 installments, this one is by far the best of all.
positive;negative;-vivian is 19.
negative;negative;simply put, this film is so bad that i almost want to disregard ever watching it and never again mentioning it.
negative;negative;the screening i caught this at had the director and cast in attendance.
negative;negative;for ya then you know good and well to save your dough.i must say that i wa a little surprised by the extreme lack of dialogue on kane's part.
positive;positive;i have seen several yul brynner films--yet this is his best performance a the camera capture his emotion in close up a he snarls, smiles, and laughs.
negative;negative;don't watch this.
positive;negative;(hamilton ontario???)
negative;positive;witherspoon is wasted in this role.
negative;negative;i agree with several of you that this film wa rather boring and dull.
negative;positive;i want to jump right into some scenes, filmed on n.y. streets, circa 1959 & experience a time i've only seen on film & in photographs.
negative;negative;and i guess they also saved a few buck by showing the same sex scene three times.
positive;positive;bullitt ha a beginning that build build builds.
negative;positive;totally different than anything i had seen before, leaving far to many question for such a young mind.
positive;positive;without giving the plot away, this is a good example of how gender switching change a story.
negative;positive;i feel sort of the same way about slasher movies.
positive;positive;right from the beginning we get a beautiful static shot of a winding walkway along water, a bridge in the background at the top, a our two lover skip their way up the screen and into the distance.
negative;positive;even year later, i remember this movie well.
positive;positive;the special effect are awesome, but what is even better is the writing.
negative;negative;"the plot wa thin at best and with the low caliber of acting at time it begged the question to be asked, ""why are we doing this?""."
negative;negative;i rented the dvd because i thought it wa all stop motion animation or sma mixed with live action and only the first short wa sma, the second had a little stop motion mixed with mostly live action.
positive;positive;also worth a look for fan of dermot mulroney or sean astin.
positive;negative;towards the end of the movie i still had a strong hope that there is something behind of all that improbability and absurdity.
positive;positive;it's a remarkable piece of work, that manages to tell a good story without twist upon twist, people leaping out of bath tubs, or superheros coming to save the day.there's a fair amount of grit and reality in there, not everything can ever go just right - not all gulf can ever be spanned - and this film delightfully show the lot.if you watch this film, and are not impressed.....
negative;positive;the music wa intense, it matched well peralta had made a mixed tape from this generation for our enjoyment, but the visuals were anything but stimulating.
negative;negative;john garfield, jr. look a bit like his father, but not a interesting.
negative;negative;if we don't, the gag, like the movie, fall flat.there are action scene naturally.
negative;negative;that about sum it up.
positive;positive;"""l'appartement"" suck you in from the beginning and the twist and turn keep you thrilled until the very end."
negative;negative;and only two part made me collapse with laughter.
positive;negative;but, if you feel rome is a good thing, if you enjoy the complicated intrigue, the ambiance of decadence and the work of the actors, then imperium will obviously appear to you a an overly timid, superfluous and tedious soap opera with not many redeeming factors.there are some actor who for my taste look somewhat better than these in rome.
negative;negative;"the ""heroine"" seems to be doomed to be a rent-a-center version of judy garland, the ""hero"" is bland a white rice, and the poor guy playing the monster doesn't even get a good transformation scene out of the deal."
negative;positive;(it's no secret that by this time he wa severely addicted to heroin).
negative;negative;the twist at the end is just stupid and the film seems to end abruptly a though they got bored with it.
positive;positive;once again, hitchcock prof his unparalleled mastery of tension and film technique, and the film's surprisingly original and enjoyable premise is alone worth a viewing.
positive;negative;"""harry & the hendersons"" (1987) wa the first big budgeted film to use bigfoot, with a terrific creature design by rick baker."
negative;positive;it isn't pretty.
negative;positive;every critic panned chris farley and david spade's movies.
negative;negative;clue: if you think the former, you've picked up the wrong movie from blockbuster.
negative;negative;in fact, the narration wa the most obtrusive and unintentionally hilarious i have ever heard and it is said in such a silly and over-the-top manner you'd just have to hear it to believe it.
negative;positive;everyone will find someone to relate to in this movie or what's more likely more then one person.lastly, the music used is just great(a lot of cars, u2,lots of obscure(now) song from the 80's.-an 80's purist's dream.
negative;negative;i would have given this le than a 1 rating if it were possible.
negative;positive;only recently (e.g., insomnia) have the original work begun to be mentioned prominently in the credits.
negative;negative;this ultra-low budget kitchen-sink yawn is the kind of film that can only be made in the uk in that, anywhere else in the world the fact the a market would need to exist before a green-light would be given.
negative;negative;the cg effect on the dragon were terrible, even for the sci-fi channel and the writing wa pathetic.
negative;negative;what happened to white go-go boots?
positive;positive;for storyteller adicts, it feature the man himself introducing the myths, the lion from 'true bride,' and... no annoying opening theme!
negative;positive;of course, it's the guy that like to collect eyeballs, and he's got quite a collection going.
negative;positive;i can go on, but i won't gush too much more.this film should have received oscar nominations, certainly one for best picture.
negative;negative;rent it with a fake name and burn it, do everyone else the favor.
negative;positive;"it's clear enough early in the film that punishment park is designed to be a concentration and death camp for all the ""unpatriotic"" element of american society."
negative;positive;a with any tv series, there are episode that shine and those that don't.
negative;positive;the whole time you are watching it you are thinking wtf?
negative;positive;the imagery of each is in counterpoint to the voice-over.
negative;negative;to begin, i still cannot shake the ferris beuller rip-off.
negative;negative;terrible!
negative;negative;oh yes, i admit i have made myself guilty of the crime of seeing this piece of trash.
positive;positive;with her beauty, she certainly would be the center of attention anywhere at any time in history.
positive;positive;benes' every gesture is benevolent, even though he doesn't prevent jarda from going off to jail.in the circumstance marcela must retreat with lucina and kuba to depend on the charity of her mother, zdena (jana brejchova) and the far le tender mercy of zdena's present husband, the scrawny diabetic richard hrstka (jiri schmitzer)--who, for the kids, starting when they commit the cardinal sin of consuming his dietetic cookies, prof to be the uncle from hell.
positive;negative;jjaks wake up to find her corpse in the bathtub and buries her.
negative;negative;this is one of the hardest to watch film ever, there are scene with silence that seems to last hour before somebody come out with the next badly written, badly acted line.
negative;negative;i didn't want it to suck.
negative;positive;"not equally ingenious a ""pulp fiction"" but thing seem much more natural in ""the apartment""."
negative;negative;i found out it wa flex like hour after watching the movie.
negative;positive;danglard, on the other hand, go from woman to woman, seducing them with the promise of fame, hooking them with what must have been a very persuasive endowment.
positive;positive;most of the one by christopher guest such as: best in show, for your consideration, a mighty wind, and waiting for guffman
positive;positive;this lead to the bitter, grumbling old woman to become even more bitter and grumbling, getting drunk and bemoaning their rotten child and inconsiderate friend the moneylender.
negative;negative;a bit unbelievable when the pow use camp made re-breathers to swim between the pow camp and the filipino village, every night.
negative;positive;had it not been for to kill a mockingbird, this movie would be much more famous.
positive;positive;a great film for fan of true to life problem befalling believable families.
negative;positive;his cell phone received a call from a known terrorist.
positive;positive;well, the movie did turn out a lot better than i expected.
negative;negative;just didn't have any meaning to it i could see.
positive;positive;surely recommended with guaranteed fun and scares.
negative;negative;it deserved only 3 out of 10!
negative;negative;there were only a few scene that make you laugh but nothing more.
negative;negative;or what if black made a movie glorifying the nat turner rebellion?
positive;negative;it's about different strategy of negotiating the stultification of eighteenth century society.
negative;positive;it wa unforgettable.
negative;positive;his conversation with sadhu are real jewel of dialogue writing.
positive;negative;like linnea quigley screwing the music teacher and getting busted with a joint, 30 year-old actor playing teenagers, and of course... rollerdisco!
negative;positive;i suppose it's a plus to have spielberg money behind you allowing for a fat budget and all the best that money can buy technically.
negative;negative;"anyhow, if you are out of option when it come to finding new ""horror"" film that you haven't seen 1,000 time already, (as i was) and you are debating this one, i would still skip this."
negative;negative;"there's also the painfully comic maecenas, whom we see a a screeching drag queen, even though there is little historical evidence that he wa such (he's once referred to a ""being effeminate in his pleasures"" in the annals).the interior are rather meager and rely on clichés upon clichés."
negative;negative;there is no conflict - at least none that would inhibit the eventual joining of the two lead characters, and so suspense is flat, there is no anticipation, and there really is no allure at all.the chemistry between richard gere and diane lane is representative of friendship at best, and with the talent of these two particular actors, i wa quite surprised.
positive;negative;a jewish girl's family is butchered, she go into hiding, later encounter the man responsible for her pain and then hatch a great plan for revenge.
negative;positive;she rescue him and take him back to the school, but instead of notifying the local patrol of his presence so that he will be taken to prison, the headmistress, miss martha (geraldine page), her assistant edwina (elizabeth hartman), their black servant hallie (mae mercer), and the mostly teenage girl take him in, heal him, and fall under his spell.
positive;negative;a policeman eventually arrives and is equally ineffective in stopping luther, even though at one point he ha a rifle squarely aimed at luther while luther cluck and doe his rendition of the polish chicken dance.
negative;negative;so he try to do the same thing here, it's just that these comedy sketch are more like the stuff that they stick at the end of snl, not funny, just painful.
positive;negative;sound very good.
negative;negative;he and buddy, his dog who can play basketball, don't like this at all.
negative;negative;"rather than being able to keep her head when all about her were losing theirs, she started to cry and scream at the slightest provocation - and not genuinely raging, either; no, these were petulant hissy fits."
positive;positive;finally i discovered what i thought i remembered a a four year old.
positive;positive;"some little touch that make this film undeniably hitchcockian- the use of non-english dialog, especially french (something hitch did on a much larger scale in ""to catch a thief""); the use of foreboding, arabic music in the hotel when the assassin appears; stewart and day talking to each other in the church, singing their word to the tune of the hymn; the albert hall scene, specifically showing the musician and the assassin's accomplice following the score, building up tension, a well a the percussionist getting the cymbal ready; and finally the assassin's gun a it appears from behind the curtain."
negative;negative;if it's not one of the stooges, it's somebody.i wa astounded to come across this thing in the form of a commercial videotape given to me by a friend who know all about junk like this.
positive;positive;an absolute masterpiece, with a both bizarre and grim film about four different story from four different location in sweden.
positive;negative;"you see, three year ago all of you critic said that we should all avoid the ""calamity"" known a ""how the grinch stole christmas""."
negative;negative;yes, blinks!
positive;positive;lau ching wan and his friend (dayo wong chi wa, anthony wong chau sun, francis ng chun yu, jordan chan siu chun, cheung man tat) had great chemistry before the film and their friendship show in their performances.
negative;negative;"in short, it is clearly one of the worst sci-fi movie of the 80's and i would be so bold a to say ""of all time""."
negative;negative;this is by far the most pathetic movie indian cinema or any cinema ha come up with.it is totally a piece of crap.the story line ode not hold any water.
negative;negative;no madder how much time is spent in mind over matter, benefit of a doubt, walk into with an open mind of an attitude you have with a film like this, there is no positive thinking when it come to down right bad film making.the sequel star kevin zegers a josh, who is in eight grade.
positive;positive;vasili merkuryev, a the patriarch fyodor ivanovich, brings what is perhaps the best performance.
negative;negative;this movie is so predictable, the actual word need additional letter to exemplify the predictability.
positive;negative;regardless of the nice car in the film, or the truth in christ's sacrifice for you, a a movie and witnessing tool, lay it down hardly delivers.
negative;positive;"i thought it wa something along the line of ""my great escape"", but i've searched on the internet, books, pretty much everything i could think of to try to, and i just can't find it anywhere."
negative;negative;this film come on.
negative;positive;yeah he went to that convention in son of the desert that ruined her plans, but he wanted to get some private time - there is nothing suggesting he and stan cheated on their wives.
positive;positive;when he come back from the foreign legion where he flew because he could not stand anymore the pressure of his mother, she complains that he is still alive while the good boy from her neighbor had been killed.
negative;negative;"to ""i just killed 12 people and boy, are my arm tired."""
negative;positive;half storyteller, half pure, unadulterated muppet wit.
negative;negative;it wa a relief to know it wa not real after reading the comments.
negative;negative;what's going on here?
positive;positive;and for a catharsis junkie like me, that's about the best censorial experience i could ask for.
negative;negative;but this might have been just because of the terrible premise and lame execution of the movie.
negative;negative;some of the film wa also shot in jamestown, ca, very near columbia.
positive;positive;the music is great.
negative;negative;two-thirds of this film could have been reduced to a 45-second montage.
positive;negative;"the film wa ninth of twenty-two feature produced by haworth, each of which wa tailored to hayakawa's talent and to his stock company of japanese actors."""
negative;positive;"unless you have something like ray bradbury's ""the sound of thunder."""
positive;positive;"eastwood is excellent in the film, and it is interesting to see him in an early role, or any role, where he portrays a character that is for the most part very unsympathetic.geraldine page had a plum role in the film a the headmistress, and i cannot imagine another actress of the time being a good in the role; a long shot could have been piper laurie, but i don't think laurie could have embodied the role in the same manner a geraldine page.elizabeth hartman (whose wonderful performance in the film ""a patch of blue"" a a blind girl who fall in love with sidney poiter's character is another high point in her short career) is at her prime here, delicate and masterful at the same time."
negative;positive;i didn't like the idea on how they thought chris hansen would do a show on tourette and let a boy speak out and bash the jews.one thing i did not like is how south park thought that people with tourette syndrome would just blurt out bad language like that.
negative;positive;71 minute of eye-candy (the plot, having something to do with nefarious derrings-do in ancient egypt, is beside the point) offer the cinematographer and audience the delectable sight of debra paget wearing an assortment of see-thru veils, most of which hit the ground when she shake and shimmy thru a slave-girl production number unparalleled in film history.
negative;positive;this movie is worth the time, if you haven't taken the time to see it do so the next time you rent a movie.
negative;positive;you know what would be so great??
negative;positive;peralta let u know more of where these kid are today, what they are still doing, and how difficult it wa to get some of them onto the camera.
positive;negative;trash at it best.
negative;positive;a simple plot, but the movie just make you feel good.
negative;negative;this man is so strong that he make even god feel scared.
negative;negative;even the makeup (mulrooney age 20 year over the course of the film) look amateurish and crude.
negative;negative;nothing of the book is in this film except the setting and characters, and they are wasted on a plot thin enough through which to read the silly script.
negative;positive;the film seems to imply that the stigma (of divorce)is almost a bad a the sad marriage.
positive;positive;john carpenter's the thing is hand down the best horror film ever made.
negative;negative;""", ""sunset boulevard,"" the lana turner lsd movie ""the big cube"" and the manson murders, which also took place in 1969 but maybe before this so-called ""movie"" wa made!"
positive;positive;let me depart from many comment i've read here, and say that this film rank a one of the five best bonds, along with on her majesty's secret service, from russia with love, licence to kill, and for your eye only (the only time roger moore actually played the role of bond, instead of futzing around).
positive;negative;unintentionally python-esque.on the positive side, i loved the background music.
negative;negative;this movie actually almost made me cry.for starter the fake teeth.
positive;negative;even when there is a decent man, he is somehow painted a a villain.
positive;positive;the soundtrack is enjoyable and add flavor to the movie.
positive;positive;further, bancroft ha always projected a toughness that border on hardness (here the blonde hair softens her up a bit, though).
positive;positive;the documentary mainly consists of the original zephyr team member talking about the past in the zephyr team, the competition they won, and their popularity and prestige.
negative;negative;"the utter lack of empathy for men is clearly the work of some ""progressive"" pseudo feminist.saddest part of the whole show is that these woman live unfortunate miserable lives."
negative;negative;jodie foster had already won an oscar at this point.
negative;negative;if it were paced faster, it would be awesome, but they didn't (*sigh*)...scares.
negative;negative;see the hypocrisy?
negative;negative;this movie totally sucked!!!
negative;positive;my good friend ted made this petition to either get the show back on tv or better on dvd, that is if we get many request to get them back on dvd.so please help u by signing the petition at http://www.petitiononline.com/6600f/petition.html
positive;positive;karim hussain's masterpiece of art/gore--this cat is definitely a talent to look out for.
negative;negative;it a muddled mish-mash of idea that are laughable.it is insufferable how this film is being marketed.
positive;positive;she and her schizophrenic world constitute the nucleus of 15 park avenue.
negative;negative;"i have read the 28 most recent comment by various people regarding this movie and wa surprised that no one mentioned the fact that the first victim, shown on the bed with the ""missing eyelids"", a the camera pan up and away from her face, blinks!"
positive;positive;lady and the tramp ii take off after the original, but this time it's junior's turn, lady and tramp's youngster (scamp) always hate been treated with the thing that ha to be done with him, following the rule in the house, taking bath all the time and taking thing nice and easy, scamp get angry and run away with a pack of dog that are left off the loose.
negative;negative;the original concept of it is actually not that bad, a there ha not been a good serial killer movie in a while.
negative;positive;'perhaps i appreciate this film so much because it appeal to my slightly off-kilter taste in entertainment.
negative;negative;it jump around from place to place.
negative;negative;this movie is not that.
positive;positive;saturday, january 9th, 1999
positive;positive;he is fit, energetic, and obviously enjoying himself.
negative;positive;there's no good explanation precisely why, but financial desperation ha led jarda to processing stolen car in the big garage that adjoins his flatlet.
negative;negative;most of the problem lie within the impersonal acting.
negative;negative;don't waste your time to watch it.
positive;positive;a great shame.
negative;positive;i found a petition to bring it back on dvd.
negative;negative;i went through great effort to get this movie after reading the comment on this site.
positive;positive;she then ha feeling herself about the strange power of her father even in his death.
negative;positive;that in itself might not be funny, but seeing it that they were woman dressed up in disguise a men one might find it to be pretty amusing.
negative;negative;""", ""hes gone, get out of there!"
positive;positive;"it focus on three particular member of the team; peralta, tony alva, and jay adams, three virtuoso of skateboarding, and probably the best three member of the team.the interview in the documentary were usually voice over archival footage from dogtown in the late 60 and 70s."
negative;positive;the lead is clueless and cold.
negative;positive;"i actually like this and ""waiting for guffman"" better than ""spinal tap"", which wa the first of the group (and made by rob reiner but starred guest and several other of his mockumentary regulars)."
positive;negative;i recommend sticking with the previous versions, either the one from 1934 or the one from 1982.
negative;positive;and there is an interesting sociological side issue - why don't you find female comic married to male counterpart to these shrews?
negative;negative;the theater wa on it's last leg and there were mostly drunk snoring and sleeping in the place.
negative;positive;the sound wa excellent!
negative;positive;i could have done without the bumbling crook or the bear though.
negative;negative;the fact that it lasted three season beggar belief.
positive;positive;"a couple of day ago i saw the awesome ""house of sand and fog"" and i wa impressed with the amazing performance of ben kingsley in the lead role."
negative;positive;"you're from out of state."""
negative;positive;the person with the lowest number of vote usually go home anyway.
negative;negative;the dog had more going on than she did.the love affair is flat.
negative;negative;maybe james p. lay know what do to in the sound department if a director supervises him.in 'dreamland (2007)' however, he cannot accomplish anything a a writer or a a director.there is absolutely nothing in this film, no story, no character building, no events, no atmosphere, no plot, no twists, no acting that deserves that name.in any of those department this movie is billion of light year behind any short film that ha some actual thinking in it, even a one minute one.it ha nothing to do with any of david lynch's works!i actually think it could be used a mental torture or a negative propaganda material against the west.recommend it only to your worst enemies!
negative;negative;there are enough concept here to fuel a number of films, but a it stands, it's bloated with completely irrelevant details.
positive;negative;and so are you american producers.
negative;positive;i really recommend it, it's great!
negative;positive;the city's health authority acted quickly to isolate sufferer and contain the virus, enacting a free vaccination campaign that saw over six million new yorkers immunised against smallpox.
negative;positive;now i see the comparison.
negative;negative;the highly under-rated character actor, marshall bell gave his absolute best a always.and since damian couldn't deliver on any level, it wa hard to feel emotion for any of the characters.
negative;negative;then, virtually without any warning, the screenplay turn on a dime and convert the kid into callous, self-centered monster and the parent into passive, whiny victim of that callousness.
negative;negative;i suggest you rent it, buy a couple quart of rum, and invite the whole crew over for this one.
positive;negative;they had a wonderful string of film with all the classic horror films.
positive;positive;and what happens to eastwood is a leg up on much of the competition for creepy, eerie, demented film.
positive;negative;have you seen a movie that not only make you regret losing the hour you spent watching it, but make you grieve for another hour after that?
positive;positive;j. piedmont mumblethunder (ollie) is a millionaire who ha come to the dock to greet his nephew philip, whom he's never seen.
negative;negative;repeat this a many time a their are character left.
negative;negative;a group of friend get together on a weekend, get drunk and then decide to make a backyard video.
positive;positive;this new movie by jeskid is awesome!
positive;positive;from the very beginning, it's clear that burlesque on carmen is one of chaplin's most complex and ambitious effort to date, starting off with a long back story, told through inter-titles, about the tragic love story of carmen.
positive;positive;the ending, however, is tense, stunning and effective.
positive;positive;for the most part, i only enjoy the kind of movie that allows one to escape the current time into the future or past.
negative;negative;!this film is so darn bad!i never thought that this film could ever get a close to my least favorite film a it did,but i did laugh,because all the joke were so corny and ridiculous,not funny!!!
negative;negative;make for some interesting time a the police, the drug dealers, and the revolutionary are all looking for these two illfated chain buddies.just so you don't get any wrong idea the head of the revolutionary and markov's kanoodling partner is named ernesto played by filipino actor zaldy zshornack.
positive;positive;this is 1946!!
negative;positive;i hope this is the beginning of a brand new stage in his career.*my rate: 7/10
negative;positive;she had a copy of the movie and wa so kind to send it to me.
positive;negative;i have never seen a hotter man.
positive;positive;in a way she make u realize that probably each one of u is looking for our own '15 park avenue'.
negative;negative;boring, illogical, terrible.
negative;positive;there are lot of laugh all around.
positive;positive;"i guess you are a bit old, and sexual expression is not part of your ""visage""."
negative;negative;that being said, the review that hail this movie a a low-budget success may not have watched the same movie that i saw.rather than write a review and tell you what happens and what work and doesn't work, i will simply comment that nothing works.
negative;positive;i thought this wa a very good tv series and i would like to see it continue.
negative;negative;it's virtually a compendium of what wa wrong with the earliest talkies: stiff direction, immobile cameras, stagy acting and ridiculously slow-paced delivery of lines.
positive;positive;"""this film ha aged well."
negative;negative;"""greg, stop clowning!"
negative;positive;caine ham it up...which is exactly what the character he is playing should do.
positive;positive;i thought kelsey grammar, rip torn and bruce dern did a great job.
negative;positive;i thought there wa nothing fake about her performance.
negative;positive;and it wasn't just the race or battling different boss that made it interesting for me.
positive;positive;the storyline and twist in this film are just superb and well drawn out until the amazingly twisted climax.
negative;negative;watching thismovie made me realize that boa vs. python wa not that bad after all.
negative;positive;flipping through the channel i wa lucky enough to stumble upon the beginning of this movie.
negative;negative;"we have the same kind of absurd lack of loyalty in ""wink of an eye"", when a red-shirt male take the enemy's side just because he fall in love!"
negative;negative;when the getaway go wrong, the two are forced to take refuge in a convent, a nuns.what at first promise to be a riot soon becomes a predictable, average movie with the usual tasteless sex joke and bland humour.
negative;negative;the cast is the only thing that kept me watching.
negative;positive;"""hi-de-hi!"""
negative;positive;well some movie don't need ny of that junk.excuse me for going off on a tangent, which i normally do, but i'm just so fed up with that special effect junk.
negative;negative;i hope that when the next person want to make a movie/series of the book they don't ruin it a completely a this series did.
positive;negative;it's probably a true statement about a quite big part of the population (the part i despise, by the way).
positive;positive;ollie is pretty much his usual character, but it's such a joy to see stan acting so differently from his usual man-child character.
positive;positive;ward bond portrays elder wiggs, the main voice for the mormon group moving the wagon train to the lord's destination.
negative;negative;how can something which began so promisingly end up being so formulaic?
positive;positive;"the quality visual look of this film is virtually carried over from ""dalmatians"" (with some nice nod to french impressionism, it appears), and the villain here (the butler) is strongly reminiscent of the henchman in that film a well."
negative;positive;the dog come upon an orange after falling out of the back of a car on his way to be sold, but at night must protect the orange when he come enters a devilish nightclub featuring many bizarre and scary characters.
negative;negative;moore search for him, is told at a hospital he is dead, then wanders the street until he call from a hospital window and they are reunited.it's a nice little romance, but hardly more than that.
negative;positive;perhaps this tale crossed my mind when i wa watching the film, but that's all.
negative;positive;"unlike on mainstream show like ""24"" where the terrorist are merely nutcase who the good guy shoot, their purpose and reasoning here are fully examined."
positive;positive;a unique and effective war film, unlike any other.
positive;negative;on the way they stop at a backwoods gas station and meet a biker gang.
negative;positive;when james arrives home, ann is angry that he is making such a big deal out of it and state that she wa driving the car.
positive;negative;from the opening scene, our protagonist solo (giovanni ribisi) show himself to be a self-absorbed, feeble, and neurotic loser completely unable to cope with the smallest responsibility such a balancing a checkbook, keeping his word, or forming a coherent thought.
negative;negative;"(sometimes called island of death), mastorakis's effort is set on a greek island which is a stage for various form of slaughter, a little bestiality and some wholesale perversion.everything move at a snailish pace and the violent set piece are poorly directed.touted a ""the movie that the censor didn't want you to see"", i'd hazard a guess that the censor never saw it, they simply read the presskit until their knee jerked upwards."
negative;negative;the unfortunate thing is that it just isn't bad enough to be good.
positive;negative;if not her, i would give this movie 1 star.in conclusion, i expected to see some well played movie and some interesting plot.
negative;positive;this film is about a young indian guy who come home one day and find himself getting engaged to a woman.
negative;negative;"""."
positive;positive;there is a touch of reality here.
positive;positive;"take shawn woods' ""hook"" physique for a ""perfect"" example...and i stress the word ""perfect"" put that in your pipe and smoke it...!!!"
negative;negative;it's a violent, absurd western.
negative;negative;i think it wa steve.
positive;negative;sound cool, right?
negative;negative;i consider myself a big fan of low budget horror movies.
negative;positive;about some thing the film give too much information and about others, not enough.
negative;negative;), and ha le political references.
negative;negative;(this one wa shot in five days.)
negative;positive;a it turn out...it wasn't featured all that much in the movie...you can barely see it during the christmas show with the children.
positive;positive;although i haven't seen it yet, i know that chaplin is a genius, and only someone of his talent would take on this daring subject matter--a comedy about hitler.
positive;positive;this is absolutely the best 80 cartoon ever, maybe the best cartoon of all time.
negative;positive;then, when it come to the flapjacks, he flip and she scoops.
negative;positive;on a side note, i've seen some almost misogynistic message and joke in some of chaplin's earlier work, but probably none quite a overt a in this one.
positive;negative;whatever.erm, the end - all written by perception de ambiguity
negative;negative;that saved 10 minute in writing and production time.
positive;positive;seeing the exploding tableau with a lone red and yellow sign aajala (ayala?)
negative;positive;i put this movie in the same category a winter people with kurt russell and kelly mcgillis, another favorite.
negative;positive;so kudo's to all involved in the making of this film.
negative;positive;what doe she signify?
negative;positive;charlie chaplin's little tramp or little man character win world war i, called the great war at the time, single handedly, even capturing the kaiser, something the entire allied armed force were unable to do.
positive;positive;"you never stop thinking about the secret service!""."
negative;positive;alright..... they are pickin mushrooms... this is odd... but kinda creepy cool.
negative;positive;the film show how the jews, or at least shylock wanted revenge for the mistreatment that the jew received.
positive;negative;those evil nazi are laughing over the death of our brave men!
positive;positive;a true gem of the slasher genre, that need no gore to thrill.
positive;positive;ha the drama, suspense, and character development you would enjoy if you like drama that engages you and entertains a well a educates.the writer know their material and it shows.
negative;negative;by halfway through the movie you'll be so lethargic to the fate of the half-wit that only morbid curiosity will sustain you to last to the mildly amusing ending.
negative;negative;"go get your camcorder, your little brother, and the disturbing neighbor next door who throw boiling water on raccoons; and you got yourself a film!"
positive;negative;what the hell is going on with the african-american (black!)
negative;negative;i suppose that these were all young actor at the time and this script just filled a job nitch.
positive;negative;"think of the edge of your seat conversation between master (bocelli) and the air traffic controller:atc: ""sir, please throttle back to 180, flap set to 25 degrees."
negative;positive;"""dead man walking"" upset me a great deal."
negative;positive;since then i've searched for a video but never found it until now, 33 year later, when i ordered it from moviehunter.
negative;negative;i can't even think a young student of cinema making this movie.
negative;negative;he is simply viewed by the british a the defacto leader of the tribe.
negative;negative;"sure i'm called uninformed for saying it but i truly have no interest whatsoever in just another ""pull at your heartstrings, copy off of all other story line to get emotion from the readers"" novel, even if it is set in afghanistan.that said, i watched the movie."
negative;negative;awful, awful, awful show.
negative;negative;very disappointing.
negative;negative;ok, cgi.. but no reality.
negative;positive;it ha been long overdue.
positive;positive;by the end of this movie i felt a if i knew her character better than i knew myself.
negative;negative;this wa weird.
positive;positive;in a word...magical.
negative;positive;the matrix is my favorite sci-fi movie.
positive;positive;the chemistry between character is especially well-developed, more so than usual in the series, in reference to the friendship between straggletag and the prince.
negative;negative;of course, you have to be in the right frame of mind to watch it.
positive;positive;thanks an adequate script, the film is pretty good but i wa surprised to hear no french accent at all in the film even though it wa supposedly about french people!
positive;negative;what the (beep) is going wrong with disney the last years?
negative;positive;and naturally some of his method to completing a single task often result in disaster, which we then see mr. bean try to resolve.sometimes, we see mr. bean show a mean or petty streak, often trying to compete with those around him or play prank on those least expecting it.
positive;positive;in comparison to the passion of the christ, another recent film that people believed to be very anti-semitic, merchant of venice make passion look like a jewish holiday.
negative;negative;make me wonder if they even had a script for this movie.
positive;positive;i bought the film not so long after seeing it on tv, i put it on a lot and sang along with the songs.
negative;positive;it's interesting that this film is a fictionalized reworking of the experienced of ruth gordon (a famous screenwriter) and her husband, garson kanin (also a famous screenwriter a well a director).
negative;negative;one of the more prominent/popular episodes, but clearly one of the worst.
positive;positive;the nonlinear structure make the progress of searching look more complicated.
negative;negative;the film's exploitative violence, though, is often only shown in brief close-up, and never dwelt on for very long, which diminishes it effect (interpret that how you may).
negative;negative;a group of high-school kid go to a carnival, see a side-show, and get in over their heads.fans of fred olen ray should be warned, this is not like any of his other films.
negative;negative;pathetic way of combining action and rap.
negative;positive;the first thing that really need to be changed is the judge deciding who go home.
negative;negative;"is a ""comedy"" about a man whose parent beg him to kill them because they're going senile and want to be put out of their misery."
negative;positive;i disagree that this is breillat's first comedy.
positive;positive;for our european friends, think of two great rival football (soccer to us) club and imagine a fan of one getting a jersey from the other.
positive;positive;thanks for making this film!
positive;positive;the episode when there is a double of cleopatra is particularly moving and jennifer sky i think give one of the best performance of someone dying for a long long time, and being a film and television buff i know what i am talking about.
positive;positive;"it is small but significant and it is grubby with load of drama and unsavory characters, virtually a ""dirty dozen"" western."
negative;positive;amudha is played by p.s.
negative;negative;other f.o.
