prediction;gold;sentence 
negative;negative;"that attitude clearly demonstrates a lack of respect for the client and a lack of respect for our business."""
positive;positive;\nwe ate in solas the irish bar and this wa pretty good and cocktail in the city bar were great also.
negative;negative;"""do not stay at this holiday inn!"
negative;positive;la prima colazione \u00e8 un vero piacere: se non fa freddo puoi consumarla nel piccolo giardino, che \u00e8 la chicca di questohotel, oppure nella veranda o vicino al bancone cuina dove sono allineati una nespresso (uhau!
negative;positive;2) spacious rooms... we were never bumping into each other, or tripping over bags.
negative;positive;"the minibar wa stocked with lot of different option for alcohol & non-alcoholic drink (bottles were not \""mini\"" sized either) and snacks."
positive;positive;although the hotel is older, the ground are lovely and the location is great.
positive;positive;"""we got a great deal through hotwire for texas/ou weekend."
negative;positive;they were all a short drive from the hotel.
positive;positive;the hotel is conveniently located at the intersection of i-69 & i-465.
positive;positive;jerry gave suggestion about sight that we should visit and how to get there.
positive;negative;we prepaid and our credit card wa charged.
negative;negative;it seemed like an inconvenience to ask.\nthe carpet wa in really bad condition.
negative;negative;they were smoker so we didn't use it much.
negative;positive;not much view.
positive;positive;the room wa very nice with a beautiful view michigan ave and the river.
negative;positive;"it wa nice to have a balcony and convenient parking."""
negative;positive;very clean!!!!!
negative;positive;while this hotel wa clean and affordable, the room were extremely small, to the point of being uncomfortable for two person to move around in.
positive;positive;the room is smaller, but efficiently used.
negative;positive;yes, it wa a half block in the wrong direction, but that wa manageable because otherwise the location wa fantastic.
negative;positive;"i wa running late for my flight and nabela personally went outside in the rain to hail me a taxi.\ni am one who travel very much and this would probably not have been a hotel i would have returned to due to the construction noise but service like this is what i look forward to when away from home.\nthank you guys!"""
positive;positive;(ainsi nous avions demand\u00e9 2 chambres contigu\u00ebs pour \u00eatre \u00e0 cot\u00e9 de no enfants et il a fallu batailler pour avoir de chambres au m\u00eame \u00e9tage !
positive;positive;the property ha the embassy open atrium and the lobby at the bottom, but happy hour presented a nice selection of beer and mixed drink (the margarita and sangria made in-house were especially tasty) and breakfast wa fantastic, a well.
positive;positive;"not a good way to greet and treat paying customers."""
positive;positive;cependant, notre chambre, situ\u00e9e au 6\u00e8me c\u00f4t\u00e9 cour int\u00e9rieure \u00e9tait tr\u00e8s calme (attention cependant : de travaux sur l'immeuble voisin peuvent cr\u00e9er quelques nuisance sonores \u00e0 partir de 8h00 du matin).
negative;positive;everything wa functional and comfortable.
negative;positive;the hotel wa nicely furnished, modern interior with spacious room and friendly staff too.
positive;positive;"a parte questo piccolo neo per il resto \u00e8 stato all'altezza delle nostre aspettative... nn per il prezzo che \u00e8 esageratamente alto la del resto come in tutti glia otri alberghi di ny."""
negative;positive;bed wa very cozy.
positive;positive;"made to order breakfast, tea and cooky and candy available all day long, sandwich mid-afternoon, adult beverage from 4-10pm with a \""taste\"" from one of the restaurant at 5 and desert at 8."
negative;negative;the manager response to that wa ''this is new york, there will be rats'' toilet constantly get blocked, their response wa ''it's the forth floor it happens when it's so high up'' (well i have stayed in hotel 10 floor and more high, never had that problem.)
positive;positive;the living area wa very roomy and we had a view of the capitol building.
negative;positive;checked in easily and asked for high room (after reading warning about views/noisy exterior air conditioning fans).
positive;positive;i reccommend reserving the private area--they served u with fresh fruit and vegetables, and we spent the day in our own private wood spa filled with flowers.
positive;positive;"will definitely return and recommend to others!"""
negative;negative;\ncustomer service wa okay.
negative;negative;"""we booked a basic room for 2 - turned out to be a 2x2 cell block!!"
positive;positive;check out wa very easy in the morning, and we were able to leave our car in the ramp until 6pm so we could see more of the city.
positive;positive;our very clean room and bathroom were more spacious than we expected.
positive;positive;the moment you enter the hotel the staff great you with a smile and make sure that they get you to your room quickily.\nthe hotel is simple modern very clean line and the room are spacious very large window that let the light in and the window open a great plus in ny.\nthe bathroom wa great with a rain shower.
negative;positive;i will spare you the gory detail because i really don\u2019t feel like reliving the only bad part of the trip but don\u2019t use this company.
negative;positive;sparkling wine or champagne would be the standard fare, we were told.
negative;positive;it sounded like the heat vent in the bathroom wa connected to another room's system because it wa on when our heat wa off but the vent wa closed off.
positive;positive;"in particular, jill and empress who hosted a nightly \""crabby hour\"" with local beer and wine and demonstrated how to make crab crepes."
negative;positive;"la hall e'bellissima..."""
positive;positive;we had booked a deluxe and were upgraded to a superior, i assume because we are part of the select guest program.
positive;positive;the lobby wa very beautifully decorated, the room wa beautiful, clean and the heating unit worked perfectly.
positive;positive;this wa attended by a lot of people and everyone just chatted and shared their chicago experience.
negative;positive;i know they will not let u down.
negative;positive;it wa myself, my husband, and daughter.
positive;positive;"""tr\u00e8s bon h\u00f4tel."
negative;positive;my room wa ready in the afternoon and wa on the 52nd floor!
negative;positive;the room service, egg benni in the moring and i fall back asleep in bed.
negative;positive;yes, there wa some traffic noise and much merriment coming from the 4040 club on saturday night/sunday morning, but not enough to make having a room at the front of the hotel a problem.
positive;positive;it ha a good location, only 10 min walk from the magnificent mile.
negative;positive;"but for an event at the convention center, it's just fine."""
negative;negative;"i will never stay here again!"""
negative;negative;but it left quite an impression on me.
positive;positive;for the boston area it is a very economic option and a very nice hotel.
negative;negative;those will end up on a pile of your things, whether they be your clean clothes, dirty clothes, shoes, laptop.
positive;positive;we started each day with a full stomach!
negative;positive;the elevator were quick and the location is excellent but not quite so busy a time square.
negative;negative;it is just a few block from time square, central park, rockefeller center, ed sullivan theatre, broadway theatres, and carnegie hall.
positive;positive;loved getting a fresh breakfast and coming home to a nice dinner (complete with salad).
positive;positive;"""stayed here with my wife and 15 month old daughter."
negative;negative;even with my multiple trip to the front desk the same clerk always seemed surprised that i wa a guest.\nfinally the counter in the bathroom extended too far over the toilet and impeded the toilet seat lid from fully opening.
negative;positive;however, we soon found that we could walk along the downtown street of sa (on the sidewalks) and then get back on the rwalk and were quickly back in the action.
negative;positive;"""too many new york hotel are legendary for having (a) room the size of postage stamps, (b) a surround-sound of constant noise, (c) web site that bear no resemblance to their reality, and (d) price far higher than the actual level of your experience."
negative;positive;"""all of the review of this place had me second-guessing my stay at this hotel."
positive;positive;"\nwould definately return!!"""
positive;positive;great location, typical business class hotel with usual amenities, room in very good condition, staff very helpful.
positive;positive;\ni want to put in a special recognition to mr. cronin the gm and mr. caballero the senior operation manager.
positive;positive;in fact, we had a separate his and her bathroom!
positive;negative;"""the place consist of two parts: hotel and hostel."
negative;negative;it's loaded with so much crap it's like starting a pc in 2000.
positive;negative;my co-worker and i stayed at the hotel st. regis in detroit for a business trip and received le than desirable service during our stay.
negative;positive;the only pitfall wa that the fitness center wa small and the treadmill wa not working properly.
negative;positive;"(the bed are very comfy, so we went right back to sleep!)"""
positive;positive;absoutely worth the small upgrade fee!
positive;positive;"""i had a great stay at the royalton."
negative;negative;we don't mind paying a little more for the room if we are guaranteed a view of time square (which we were given every time we stayed).
negative;negative;"i am not all that modest, and don't mind nude/sexual painting so i wasn't offended, but people traveling with kid might want to be aware."""
positive;positive;"""thank you, i slept well, very comfortable, nice rooms."
positive;positive;nice view of avenue of the art also, aka broad st.
negative;positive;it just happened every downtown hotel wa booked and they were the only one who had a room left.
negative;positive;i am not sure i would pay upwards of $350 a night to stay here.
negative;positive;there's a tremendous police presence for good reason.
positive;positive;"""great hotel, friendly and helpful staff, bed ha to be one of the most comfortable i have slept on plus it wa huge!"
negative;negative;seems to me they should have seen that i wa going to be there all week would need to hang some clothing.
negative;positive;all of the room were bungalow which provided for a much quiter and relaxing stay.
negative;positive;this wa the beginning of our honeymoon, so we were willing to pay the extra $100+ (room rate and parking) for the convenience.
positive;positive;"you will find plenty of restaurant and bar in the immediate\narea and not all at typical ny prices.the best thing about this hotel is the area , quality of room and accessabilty to the rest of manhattan.good value!"""
negative;negative;i have stayed in much nicer hostels.
negative;negative;"it wa simply one of the most terrible hotel experience i've had in a long time!"""
negative;positive;the bed were extremely comfortable and had a pillow-top type mattress.
negative;positive;first night we had noisy neighbors, but thankfully they only stayed for one night.
negative;positive;i heard a lot of negative comment about the reception staff but in general they were very helpful.
negative;positive;but for business travel, traveling couples, or older child it wa just fine.\nalso, i had read on these review that parking wa valet only (confirmed that) and wa ~$35/day.
negative;negative;le than 5 mile from the border from where we are.\ni hope this can help some of you fellow travellers.
negative;positive;he wanted me to sign some form that say he's not responsible for anything that happens to my car.
negative;positive;"welcoming, helpful and professional."""
negative;negative;it would be one thing if they were not allowing anyone in but i watched them allow 10-20 class act (males) decked out in their ed hardy up top.
negative;positive;i would definately stay at this hotel again.
negative;negative;caro para o valor que cobram.
negative;negative;staff at the lobby bar tried very hard to be nice, but being nice it not enough if you do not have the skill to work in a bar.
positive;positive;the busboy and front desk staff were helpful and attentive.
positive;positive;"""the wingate by wyndham provides a great location at very reasonable prices."
negative;positive;the location couldn't have been better, stone throw from pier 39.
negative;positive;this should really be standard imo.\n-there wa no continental breakfast a advertised...just lukewarm coffee\n-tv had fuzzy reception\n-there wa apparently a group of men living in the same building we stayed in who kept their door open a if they were living in a dorm room.
negative;positive;we checked in a few hour early with no problems.\ni will stay here again a we like to fly down for the weekend and go to the giant games.
positive;positive;there wa also a couple tasty french pastry and high end bottled water.
negative;negative;a woman we spoke to later, whose name i didn't get, also needed to see id but didn't seem to care that it wa in my wallet.\nwe went to drop off our bag since we were going out for the afternoon and the room wasn't ready, and were told we had to pay to have them held, though we were guest at the hotel.
negative;positive;early saturday morning i called and asked the folk at balboa park inn if they would be kind enough to let u cancel the first 3 night of our 4 night stay (spent the rest of the trip in anaheim) - something they didn't have to do based on their cancellation policy.
positive;positive;"good job!!!!!"""
negative;positive;"""alles wa keurig geregeld en het personeel wa erg vriendelijk en service gericht."
negative;positive;from the time we checked in till the time we checked out!
positive;positive;"""we were on the 24th floor, in a \""premium view\"" room, with a stunning view of the hudson river a couple of picturesque block away."
negative;positive;tutte le mattine viene consegnata gratuitamente una copia del new york time che ha la sede a due passi.
negative;positive;"there are several \""booths\"" where one can access the internet 24-7 but this is charged to your credit card at 50 cent a minute."
positive;positive;"da hallenbad in der obersten etage hat jedoch seine glanzzeiten hinter sich, jedoch auch hier alles sauber."""
negative;positive;we took a red-eye and we were really tired when we arrived at 9 am at the hotel.
positive;positive;we had a great time and i would definitely consider staying again.
negative;positive;"the chef preparing the omelette wa very personable and made sure your order wa correct."""
positive;positive;the hotel is huge there are two towers.
positive;positive;"""our pre-cruise stay at the residence inn wa all we had hoped for & more."
positive;positive;the bathroom wa big and spotless.
positive;positive;the hotel is wonderful but randy made it great!
negative;negative;"the pet rate wa higher than we were told when booking.\nthe room/bed/bathroom were about average for the price level."""
positive;positive;i almost hated asking them for help because their persistence in satisfying my personal request at time must have taken valuable time from other duties!!
negative;positive;"""i had an excellent time at this hotel, it wa actually my second stay there and now the only place i will stay when vising in la which i travel to apprx 4 time a year on business.\nthe service is excellent, the staff are extremely helpful and lovely."
positive;positive;people at the front desk where always friendly and helpful.
positive;positive;it's not just a museum, it's also the winding room providing the power for the whole system.
negative;positive;a little steep for columbus in my opinion.
negative;positive;the location is close enough to downtown club area (6th, warehouse) but not too close.
positive;positive;i would definitely stay here again and i would recommend it to my family and friends.
negative;negative;160 for a bed and 3 bar of soap.
negative;negative;well when we checked in we were put on the 26th floor and wa told that they had switched tower for the club level because it the original tower wa being remodeled.
positive;positive;tick again\ncolin, the manager, is mist obliging and full of suggestion for thing to do and what's on.
negative;positive;fica ao lado da rodovia 85 o que facilita o deslocamento pela cidade para que est\u00e1 com carro.
negative;negative;it wasn't.
positive;positive;we loved the framed black and white photograph on the wall of famous people who had styed at the waldorf it just added to the glamourous feel of the place.
negative;negative;the first room that they booked for u wa unacceptable so they were very nice and changed our room to the renovated tower.
positive;negative;nice properties.
negative;positive;i'm not saying it's not worth paying more, but i would have to see what else is out there.
positive;positive;i have stayed in alot of holiday inn and this is one of the nicest ive seen.
negative;positive;"everything wa expensive, but this is santana row..."""
positive;positive;da hotel macht zwar einen sehr formalen eindruck.
negative;negative;"my husband and i, should we choose, were welcome to sit in a garage that had been \""converted\"" into a \""porch.\"" well, since it wa after all only a garage with two chair in it and the weather wa freezing we passed on this."
negative;negative;i immediately called la quinta and spoke to the desk clerk who wa too busy to check and advised me to call later.
negative;positive;the room size wa brilliant for a central nyc hotel.
positive;positive;the hotel ha obviously been recently refurbished and they have done a good job.
negative;negative;the butler idea is pretentious and useless.
positive;positive;the lobby is small but quite adequate and clean.\nupon entering our room, king-size bed, we were further pleased.
negative;positive;in fact, it wa the coldest we have ever had!\nthere is plenty of food within a short walk of the hotel, a well a a cv pharmacy basically right next door.
negative;negative;upon arrival, i asked for the microwave - they said they had none available for the rooms.
negative;positive;there wa a nice flatscreen tv in the room and a safe big enough to hold a laptop.
negative;positive;we could see out across union square and watched people eating at the cheesecake factory located on top of macy's.
negative;positive;my room wa pretty small, but i wasn't there to hang out in the room so it wa fine.
negative;positive;i think we've all crossed the threshold into free wifi... come on, if day inn can do it, so can you handlery.\nthe union square area is more of a new york vibe - the good and the bad sides.
negative;positive;"i would strongly recommend it to other travelers."""
negative;positive;subway a 30 metri, personale cordiale, camere un p\u00f2 piccole ma pulite, cambio asciugamani quotidiano, prima colazione (varia ed abbondante) inclusa, wifi gratuito in tutta la struttura, posizione abbastanza centrale, rapporto qualit\u00e0 prezzo molto onesto.
positive;positive;we didn't have any tea or coffee making facility in our room so we asked at the front desk and found a hotwater machine, tea and coffee waiting for u outside our room when we returned.
negative;negative;when i stepped off of it, there were black streaks.
negative;negative;also, they should take the time to make a flyer and put it under the door.
negative;positive;we had a room that wa not facing the street and it wa very quiet.
negative;positive;breakfast wa good, the only downfall wa that it wa very crowded- i would advise going early.
negative;negative;"the water park wa a joke; half the slide were not working."
positive;positive;"""my husband and i stayed at the casablanca for 3 night at the beginning of august."
positive;positive;you want a very different hotel experience in nyc and the yotel certainly doe that.
negative;positive;most of broadway fall into that area, so if you're visiting nyc briefly and doing mostly tourist-y things, this location would be great.\nthe only negative from my stay were:\n- the elevator (mentioned by many) which didn't appear when i wa trying to leave and resulted in a walk up to the sixth floor to collect luggage (thankfully the elevator did show up before we had to carry both my 50lb bag down!)
negative;positive;we attended a sunday service at the national cathedral (a 30 minute uphill walk from hotel), which i highly recommend, regardless of which faith you are or aren't (we dressed up, but there were several people in jeans/shorts).
positive;positive;the room wa a good size, had a huge window overlooking the highline and the empire state building.
positive;positive;the hotel provides free internet access to print boarding passes.
positive;positive;room are very nice, a little small, but nicely appointed.
negative;positive;"parking is horribly expensive!"""
negative;positive;"this hotel is a couple of block from the metro and it the red line -- not the most convenient for tourist stuff.\nthe food wa the normal residence inn stuff -- 'love those high fat made to order waffle for breakfast, and the pulled pork on a warm roll for dinner wa just fine."""
negative;positive;there is also a dvd player and clock radio with ipod hookup.
negative;positive;"""the hotel is not the hyatt, but i found the service to be excellent."
negative;positive;"i would certainly return."""
negative;positive;"the fruit, vegetables, food wa so fresh - wa the real deal - brought back a bunch of snack for the room.\nwill definitely be back to the stanford court for next trip to san francisco!"""
negative;positive;"le chambres sont spacieuses, modernes et le lit un de meilleurs surlequel j'ai pu dormir.\ntout est r\u00e9uni pour faire de ce s\u00e9jour \u00e0 chicago, un agr\u00e9able moment.\nnous retournerons \u00e0 chicago et au sofitel sans aucun doute."""
negative;positive;upon arrival there weren't any studio room available, so he instantly upgraded me without flinching.
negative;positive;i attended a conference in the hilton and had breakfast over there for the rest of the week.
negative;positive;there are three of them, but you do have to be patient if you are trying to go somewhere at these peak times.
positive;positive;we wanted to put the bed in our suitacases to take home!!!!!
positive;positive;the breakfast bar had madetr to order omlettes and the atrium provided a wonderful view.
negative;positive;"""we stayed at this hotel for 2 night in april, 2003."
positive;positive;the bathroom layout wa a little different (actually two separate rooms, one w/ a sink & shower and one with a toilet and sink) but i liked it(reminded me of the disney cruise bathroom layouts) and if you are traveling with other people i think it would be an added benefit since there are two sinks, place to get ready.\nthe gym area wa basic but clean.
negative;positive;pedi uma vez e o atendente disse que entregaria em 30 minutos.
positive;positive;very good service.
positive;positive;strange.
positive;positive;our room had a refrigerator ,microwave and two queen beds.
positive;positive;maybe we will see you there!
negative;positive;"would certainly recommend this hotel and would stay here again."""
positive;positive;staff very pleasant at all times.
positive;positive;good room service.
negative;positive;it's down the street from financial district so that area can be quiet during the weekends.
negative;positive;very great staff!\nthere is also an exercise room, again a typical hotel gym, nothing huge, treadmill, weights, bike, elliptical, and a tv.
positive;positive;"""talking about a new york hotel, the east houston is definitely a great hotel, naturally you will get more value for money in oregon :-), but the east houston offer fine clean room in a great area, friendly staff, breakfast for free, super roof terrace with possibility of enjoying the breakfast with a skyline view."
positive;positive;booked early so i got a good rate and the hotel wa really nice.
negative;negative;\nnos dieron una habitaci\u00f3n en la planta 12 con vista al teatro chino.
positive;positive;great hotel for, great price.
negative;positive;any wonder why so many people in this country are overweight?
negative;positive;"\""brians\"" next door doe excellant food 24 hour per day."
negative;positive;"would come back again!"""
positive;positive;"i'd definitely stay here again and recommend it highly."""
positive;positive;da stockwerk war un recht egal, wir wollten ja nur ein ruhiges zimmer, aber die aussicht war traumhaft.
negative;positive;the room were great, even if the view wa typical of new york - facing another nearby building.
negative;negative;wir waren zu zweit (alter 25 jahre).\ndie lage de hotel ist super.
positive;positive;they took the time to listen to my numerous queries, even when i wa changing our reservation for the second time.\nthe evening we checked in there wa a pianist playing the piano, doorman attentive to the guest checking in and check in wa done quickly a well.\nwe had taken 2 room and both the room were clean, spacious compared to manhattan standards, clean and very comfortable bed with modern decor and massaging shower heads.\ngood view if you are lucky enough to get room which face the city or waterside.\nlovely short walk to central park and the musuem, reasonble taxi fare to time square.\ngetting the package with parking included wa worth it!\nour family totally loved our stay at the hotel for it comfortable beds, cleanliness, decor and the hospitality wa great!
positive;positive;my experience with staff members, monica c., stephani and nathan wa pleasurable.
negative;positive;"""this hotel is beautiful from the time you drive/walk up to it until the time you leave (sadly!"
positive;positive;!\nla cosa pi\u00f9 importante di questo hotel \u00e8 la posizione, \u00e8 davvero a 200 metri nemmeno, da time square e dalla stazione penn station.
negative;positive;we terribly needed a shower after our 20hr flight, hence us$10 seemed reasonable.\nthe location is so central that you can walk everywhere!
positive;negative;since when is each room individually controlled 'from the roof'?
positive;positive;for the first time in a long time of staying in hotels, we didn't leave a tip for the maids.
positive;positive;overall the room wa a good size for a city hotel and included all the usual amenity you would expect.
negative;positive;very clean.
positive;positive;there\u2019s a small store for necessity in the lobby and the hotel is connected to the large pfahl conference center, which ha a nice restaurant on the first floor.
negative;positive;they are trained to go that extra mile and they do!
positive;positive;"""omg, what a pleasure!"
negative;positive;"parking is not too expensive and you get your own car so it not a big deal any time you want to leave."""
positive;positive;best food deal is at shaw down the road.
negative;positive;no view, but this didn't bother u a we weren't in the room for any great length of time during the day.
positive;positive;i simply love this hotel.
negative;positive;"the only criticism is that there is no bar in the hotel but saying that there are plenty of bar to be found nearby."""
negative;positive;the air conditioner wa a bit noisy but didn\u2019t keep any of u awake at night.
positive;positive;the room were stunning and we had a lovely view of the space needle.
negative;positive;"""we just discovered this hotel and can not wait to return."
negative;positive;the staff were very friendly and helpful.
positive;positive;"they do a great job!"""
positive;positive;"sehr zu empfehlen, besonders wenn man sich ein spiel in den umliegenden stadien angucken m\u00f6chte :)."""
positive;positive;\nthe location i thought wa amazing.
positive;positive;the art is excellent, and the service is exceptional.
negative;negative;room wa so small that you cant even turn around.
positive;positive;"""the hotel wa beautiful, and comfortable."
positive;positive;the breakfast wa delicious with a wide variety of items.
negative;negative;"da n\u00fctzt e auch nichts, das die recht engen zimmer sauber und nett eingerichtet sind!\nich w\u00fcrde hier nicht noch einmal wohnen, selbst wenn e umsonst w\u00e4re !"""
positive;positive;\nhotel staff were very welcoming and friendly and were always on hand to offer advice on exploring new york.
negative;negative;the toilet had toilet paper in it, the bathroom floor wa filthy, the bed sheet had not been changed (small hair near pillows), and the shower stall wa disgusting!
negative;positive;"""we stayed here for 6 day and we had no problem at all!"
positive;positive;for a reasonable cost increase, we were offered a significantly improved room (a suite in fact) on the same floor with a fantastic view.
positive;positive;"\ni wa pleased with my experience and would definitely return."""
negative;positive;there's a convenient drug store about a block away.
positive;positive;we got the city view rather than the sea view, but from the 11th floor the city looked great.
positive;positive;nice bedroom and bathroom and the staff were very helpfull and pleasant.
positive;positive;i usually travel with cleaning supply (yes i am a little neurotic), but i forgot them and i wa okay with that!
negative;positive;"i really can't wait to come back!"""
positive;positive;"overall, we had a great experience with this hyatt and will definitely stay there again!!!"""
negative;negative;they will tell you the shuttle run every 30 minutes, that is if you are going to the airport, not if you meed their service for another venue.
negative;positive;we came here after and it wa rather refreshing.
positive;positive;wonderfully large bathroom.
positive;positive;"""this ha been our standby hotel when going to sf and loved that it had been redone recently."
negative;negative;cop patrol the outside constantly, which is not comforting.
positive;positive;\ni prefer a different location on the west side or lower manhattan, but this hotel is fantastic.\ni booked the least expensive room thru the online discounter,quikbook,, for myself and my daughter for 2 nights.
positive;positive;"""myself and my girlfiend stayed at southgate tower 14th till 21st dec. we found the hotel in an ideal location, central for everywhere."
negative;positive;we had no problem celebrating my birthday with a few friend from nyc in the room before heading out.
negative;positive;"la colazione decisamente scarsa e sottotono."""
negative;positive;nothing if you are looking to get a nap, however.
negative;negative;"""upon booking online, we put in a request that all down bedding be removed from the room due to an allergy."
negative;negative;no ambience, elevator music blaring, and i wa sick all night from some sort of food poisoning.
negative;positive;"nella peggiore delle ipotesi se nn si vuol usare la metro dopo le 10 di sera, si prende un taxi visti i costi irrisori!le camere sono spaziosissime, ben organizzate, bagno confortevole e dotato di pulizia giornaliera con cambio degli asciugamani!la colazione ricca, non del tutto continentale come scrivono, ma indubbiamente sufficiente per affrontare una giornata all'insegna delle lunghe camminate!\nlo consiglierei davvero a chiunque perch\u00e8 per noi \u00e8 stato un buon punto di partenza arrivate a ny.!!"""
negative;positive;another thing that wa helpful is that the hotel staff accommodated my early check-in so i didn't have to drag my luggage with me everywhere i went.
negative;negative;"a/c is either too hot or too cold; doesn't automatically shut off\n3."
negative;positive;"""the hotel is quite pricey, but deserves it 5-star rating."
positive;negative;have stayed at beautiful 4 and 5 star hotel that don't nickel and dime you and have a real committment to service.
positive;positive;\nroom is a bit tiny but is well furnished.
negative;positive;afterwards we checked out the little italy mercato/farmer's market just a few block down the street.
negative;positive;contrary to one review, the room do have drawer to put your clothes in!
positive;positive;i'll admit i am picky with pillows.
negative;negative;the bathroom tile floor had dirt track from shoe print and a soap bar wrapper wa in the corner.
negative;positive;we are here for 8 day doing a trade show, so the bed were a treat after a grueling long days.
negative;positive;"i will say the spa wa not the greatest - and there are plenty of other spa in dallas to choose from."""
positive;positive;the front desk staff wa courteous, helpful and provided map and direction throughout our stay.\nthe lobby is small, but adequate.
negative;positive;the closet had fluffy robe to use.
negative;positive;"""this wa my first stay at the conrad."
positive;positive;the room and hotel wa very clean and up to date.
negative;positive;not only do you get exceptional service \nit is consistent every time i go back!
positive;negative;"there is a reason for the special they run, it's not worth more!\nenough said, go to priceline and for $120 you'll stay at the westin (amazing place!!)"""
negative;positive;there wa a breakfast spread that included smoked salmon, pastries, bagels, fresh fruit and more.
negative;positive;unser zimmer war mit klimaanlage, tv, telefon und kostenfreiem w-lan und lan zugang ausgestattet.
positive;positive;"""enjoyed this quaint, lovely inn."
positive;positive;we were upgraded to a suite which wa beautiful, antique furniture, plasma screens, lush carpets, a very comfortable bed and a marble bathroom.
positive;positive;the evening wa a bit more crowded but my boys, again, loved the cheese and crackers.
negative;positive;i tried and it stated no table were available within 2 hour of the time i wanted.
positive;positive;very well appointed for the price!
positive;positive;the hotel is very nice and the hotel staff wa very friendly and accomodating.
positive;negative;"i am sure better insulation would reduce this problem.\notherwise the hotel is well kept and ha a good location."""
negative;positive;free wifi (which is sometimes hard to find in a b&b).
positive;positive;i wa happy with my choice, we were given a large deluxe salon, which wa a good size and tastefully decorated.\nhotel: it is conveniently located in the upper east side close to central park, most of the museum and numerous subway lines.
negative;positive;"""we are not fairmont sort of people - we tend to fit in at the comfort inn & suite - however we did decide to splurge for our last two night in seattle and stay at the fairmont olympic - and it wa really lovely."
negative;positive;so beware!
positive;positive;arrived with a tired family and got shuttled quickly to the hotel whereupon we all received warm chocolate chip cookies!
negative;positive;got a better deal going directly to their website than by phone.
negative;positive;the bell desk advised me to wait one minute for the hotel van.
positive;negative;thank you!
positive;positive;"""i wa in town to meet with friend who booked room before i had a chance to book mine."
negative;positive;the bed were so comfortable that we over slept the next morning.wow!
positive;positive;usually quiet at night, although it is on a main road so we sometimes heard the traffic a little.
positive;positive;"this hotel is one of the best value around."""
negative;positive;(you can even go down in the basement and see the old vault.)
negative;negative;they forgot to leave me wash towel twice in a 5 day span.
negative;positive;we thought it wa a very good hotel - very handy for fisherman's wharf and the cable car terminus.
positive;negative;i also experienced billing error and loss of item at my room.
negative;positive;everything smell and look super clean.
negative;positive;plenty of room for just me.\nthe property is well-located, 1.5 block from a metro line and a $6 cab ride to adam morgan.
positive;positive;i ended up speaking with three different people before i talked to justin the front desk manager.
positive;positive;"""we spent four night in mid-april in this hotel, while visiting our child at ucla."
negative;positive;"it would be impossible to get similar facility (continental breakfast included) at this rate in downtown dc.\nwhat i didn't like...not much wa there not to like but if i have to nitpick, i would say the lighting in the room wa a bit inadequate."""
positive;positive;the immediate neighborhood of the hotel is kind of a fringe area, with graffiti, and the occasional unfortunate person asking for a handout.
negative;positive;notre chambre \u00e9tait tr\u00e8s propre et tr\u00e8s confortable.
negative;positive;"""i have stayed at this hotel a few time and never have any complaints."
positive;positive;we also enjoyed knuckle at the end of the day for a drink and some football.
negative;positive;there is a starbucks in the lobby of this hotel.
positive;positive;the staff wa also key to our great time.
negative;positive;nous avon trouv\u00e9 un arrangement lors du check out pour compenser cette m\u00e9saventure car la chambre qui nous a \u00e9t\u00e9 donn\u00e9e (la 54, \u00e0 \u00e9viter \u00e0 tout prix), n'avait rien \u00e0 voir avec notre chambre en termes de confort, vue, taille...\nen r\u00e9sum\u00e9, cet h\u00f4tel vaut le coup pour la vue, mais assez d\u00e9cevant concernant le service, la restauration.
negative;positive;"i would be happy to recommend it to anyone and will return there again when we fly to los angeles in the future."""
negative;positive;the view from our room wa spectacular, especially at 7 this morning a the snow came down over the city.
positive;positive;what a pleasant surprise.
negative;positive;would i ever stay somewhere else?
negative;positive;old hotel with lot of character.
positive;positive;brett caplan and terry forbes were the banquet manager we dealt with, and they managed their team with respect, and got amazing results.
negative;negative;rumore insopportabile del condizionatore, e camere sulla strada senza doppie finestre.
positive;positive;the design of the hotel is funky and cool.
negative;positive;"""march 4 - 14\n44 yo well travelled mom and 16 yo daughter, looking to see a much a possible and visit a few colleges.\nwe reserved via a third party online service and got a variable rate from 210 to 250, total taxes/service included came out to 2085.00."
negative;positive;\nthe room wa comfortable, especially the king size bed, not so much the sofa-bed.
negative;negative;the locker room and inside the park wa dirty and disgusting.
negative;negative;in sum, if you're accustomed to only the finest, and intend to while-away precious hour in a beautifully appointed room - stay away.
negative;positive;"there is a swimming pool!\nthe only downside i can think of is the poor wifi reception in our room.\ndefinetly great value for money!"""
positive;positive;we had a great travelzoo promo rate with a free upgrade.
negative;positive;my only complaint would have been that on check in i wa not informed that a deposit of $150 per day wa taken off my card, this should be been made very clear.
negative;negative;unless $50 more a night is a real necessity, steer clear!!!
negative;positive;"""this hotel wa in a great location for all of the activity we had planned."
negative;positive;if you stay here, you should try the waffle shop across from ford's theatre.
positive;negative;the king room wa fine -- clean and basic.
positive;negative;if i have to give advice, suck up the extra money and stay at the hilton.
positive;positive;lot todo within walking distance.
positive;positive;oh well, a long a it's clean, well maintained and service is great...who cares.
